var_name,consumer_repo,consumer_service,source_path,source_line,var_type
CLOUDFLARE_NOORINALABS_NET_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,449,gha-var
CLOUDFLARE_NOORINALABS_NET_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,468,gha-var
CLOUDFLARE_NOORINALABS_NET_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,480,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,250,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,271,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,285,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,450,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,469,gha-var
CLOUDFLARE_NOORINALABS_ORG_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,481,gha-var
CLOUDFLARE_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,246,gha-var
CLOUDFLARE_ZONE_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,446,gha-var
CLUSTER_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,871,docker-env
CORS_ORIGINS,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,387,docker-env
CORS_ORIGINS,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,44,docker-env
CORS_ORIGINS,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,44,dotenv-example
CORS_ORIGINS,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,158,claude-md-ref
CORS_ORIGINS,noorinalabs-user-service,,noorinalabs-user-service/.env.example,35,dotenv-example
CORS_ORIGINS,noorinalabs-user-service,,noorinalabs-user-service/CLAUDE.md,90,claude-md-ref
CORS_ORIGINS,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,68,pydantic-setting
DATABASE_DRIVER,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,44,pydantic-setting
DATABASE_HOST,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,38,pydantic-setting
